flaw_id,risk_factor,score,exploit_ease,exploit_available,patch_available,prevalence,no_of_cve,cve_score,Prevalence_Score,patch_age_score,Flaw_Score,ease_of_remediation,total_score,cve_list,adjusted_cve_score
202028,Critical,9.4,TRUE,TRUE,09-07-2024 00:00,83,79,4,1,1,4.4,2,32.19,"['CVE-2024-21417', 'CVE-2024-28899', 'CVE-2024-30013', 'CVE-2024-30071', 'CVE-2024-30079', 'CVE-2024-30081', 'CVE-2024-30098', 'CVE-2024-35270', 'CVE-2024-3596', 'CVE-2024-37969', 'CVE-2024-37970', 'CVE-2024-37971', 'CVE-2024-37972', 'CVE-2024-37973', 'CVE-2024-37974', 'CVE-2024-37975', 'CVE-2024-37981', 'CVE-2024-37984', 'CVE-2024-37986', 'CVE-2024-37987', 'CVE-2024-37988', 'CVE-2024-37989', 'CVE-2024-38010', 'CVE-2024-38011', 'CVE-2024-38013', 'CVE-2024-38015', 'CVE-2024-38017', 'CVE-2024-38019', 'CVE-2024-38022', 'CVE-2024-38025', 'CVE-2024-38027', 'CVE-2024-38028', 'CVE-2024-38030', 'CVE-2024-38031', 'CVE-2024-38033', 'CVE-2024-38034', 'CVE-2024-38041', 'CVE-2024-38043', 'CVE-2024-38044', 'CVE-2024-38047', 'CVE-2024-38048', 'CVE-2024-38049', 'CVE-2024-38050', 'CVE-2024-38051', 'CVE-2024-38052', 'CVE-2024-38053', 'CVE-2024-38054', 'CVE-2024-38055', 'CVE-2024-38056', 'CVE-2024-38057', 'CVE-2024-38058', 'CVE-2024-38060', 'CVE-2024-38061', 'CVE-2024-38062', 'CVE-2024-38064', 'CVE-2024-38065', 'CVE-2024-38066', 'CVE-2024-38067', 'CVE-2024-38068', 'CVE-2024-38069', 'CVE-2024-38070', 'CVE-2024-38071', 'CVE-2024-38072', 'CVE-2024-38073', 'CVE-2024-38074', 'CVE-2024-38076', 'CVE-2024-38077', 'CVE-2024-38079', 'CVE-2024-38085', 'CVE-2024-38091', 'CVE-2024-38099', 'CVE-2024-38100', 'CVE-2024-38101', 'CVE-2024-38102', 'CVE-2024-38104', 'CVE-2024-38105', 'CVE-2024-38112', 'CVE-2024-38517', 'CVE-2024-39684']",33
197006,Critical,9.2,TRUE,TRUE,14-05-2024,82,44,3,1,3,4.2,2,23.12,"['CVE-2024-29994', 'CVE-2024-29996', 'CVE-2024-29997', 'CVE-2024-29998', 'CVE-2024-29999', 'CVE-2024-30000', 'CVE-2024-30001', 'CVE-2024-30002', 'CVE-2024-30003', 'CVE-2024-30004', 'CVE-2024-30005', 'CVE-2024-30006', 'CVE-2024-30008', 'CVE-2024-30009', 'CVE-2024-30010', 'CVE-2024-30011', 'CVE-2024-30012', 'CVE-2024-30014', 'CVE-2024-30015', 'CVE-2024-30016', 'CVE-2024-30017', 'CVE-2024-30018', 'CVE-2024-30019', 'CVE-2024-30020', 'CVE-2024-30021', 'CVE-2024-30022', 'CVE-2024-30023', 'CVE-2024-30024', 'CVE-2024-30025', 'CVE-2024-30027', 'CVE-2024-30028', 'CVE-2024-30029', 'CVE-2024-30031', 'CVE-2024-30032', 'CVE-2024-30034', 'CVE-2024-30035', 'CVE-2024-30036', 'CVE-2024-30037', 'CVE-2024-30038', 'CVE-2024-30039', 'CVE-2024-30040', 'CVE-2024-30049', 'CVE-2024-30050', 'CVE-2024-30051']",21
197009,Critical,9.2,TRUE,TRUE,14-05-2024,33,29,3,1,3,4.2,2,23.12,"['CVE-2024-29996', 'CVE-2024-30006', 'CVE-2024-30008', 'CVE-2024-30009', 'CVE-2024-30010', 'CVE-2024-30011', 'CVE-2024-30014', 'CVE-2024-30015', 'CVE-2024-30016', 'CVE-2024-30017', 'CVE-2024-30019', 'CVE-2024-30020', 'CVE-2024-30022', 'CVE-2024-30023', 'CVE-2024-30024', 'CVE-2024-30025', 'CVE-2024-30027', 'CVE-2024-30028', 'CVE-2024-30029', 'CVE-2024-30031', 'CVE-2024-30032', 'CVE-2024-30036', 'CVE-2024-30037', 'CVE-2024-30038', 'CVE-2024-30039', 'CVE-2024-30040', 'CVE-2024-30049', 'CVE-2024-30050', 'CVE-2024-30051']",21
197296,Critical,9.2,TRUE,TRUE,14-05-2024,108,4,1,2,3,4.2,2,13.22,"['CVE-2024-30045', 'CVE-2024-30046', 'CVE-2024-32002', 'CVE-2024-32004']",9
200464,Critical,9.5,TRUE,TRUE,06-06-2024 00:00,21,1,1,1,3,4.5,2,12.8,['CVE-2024-4577'],9
200349,Critical,9,TRUE,TRUE,11-06-2024 00:00,46,31,3,1,1,4,2,10.95,"['CVE-2023-50868', 'CVE-2024-30062', 'CVE-2024-30063', 'CVE-2024-30065', 'CVE-2024-30066', 'CVE-2024-30067', 'CVE-2024-30068', 'CVE-2024-30069', 'CVE-2024-30070', 'CVE-2024-30076', 'CVE-2024-30077', 'CVE-2024-30078', 'CVE-2024-30080', 'CVE-2024-30082', 'CVE-2024-30083', 'CVE-2024-30084', 'CVE-2024-30085', 'CVE-2024-30086', 'CVE-2024-30087', 'CVE-2024-30088', 'CVE-2024-30089', 'CVE-2024-30090', 'CVE-2024-30091', 'CVE-2024-30093', 'CVE-2024-30094', 'CVE-2024-30095', 'CVE-2024-30096', 'CVE-2024-30097', 'CVE-2024-30099', 'CVE-2024-35250', 'CVE-2024-35265']",6
190482,Critical,9.4,TRUE,TRUE,13-02-2024,73,39,3,1,3,4.4,2,7.49,"['CVE-2023-50387', 'CVE-2024-21304', 'CVE-2024-21338', 'CVE-2024-21339', 'CVE-2024-21340', 'CVE-2024-21341', 'CVE-2024-21343', 'CVE-2024-21344', 'CVE-2024-21347', 'CVE-2024-21348', 'CVE-2024-21349', 'CVE-2024-21350', 'CVE-2024-21351', 'CVE-2024-21352', 'CVE-2024-21354', 'CVE-2024-21355', 'CVE-2024-21356', 'CVE-2024-21357', 'CVE-2024-21358', 'CVE-2024-21359', 'CVE-2024-21360', 'CVE-2024-21361', 'CVE-2024-21362', 'CVE-2024-21363', 'CVE-2024-21365', 'CVE-2024-21366', 'CVE-2024-21367', 'CVE-2024-21368', 'CVE-2024-21369', 'CVE-2024-21370', 'CVE-2024-21371', 'CVE-2024-21372', 'CVE-2024-21375', 'CVE-2024-21377', 'CVE-2024-21391', 'CVE-2024-21405', 'CVE-2024-21406', 'CVE-2024-21412', 'CVE-2024-21420']",0
159490,Medium,4.9,TRUE,TRUE,24-08-2018,1042,1,1,4,3,2.9,3,7.29,['CVE-2018-15473'],0
159491,Medium,6.1,TRUE,TRUE,17-04-2019,2036,4,1,4,3,2.1,3,6.81,"['CVE-2018-20685', 'CVE-2019-6109', 'CVE-2019-6110', 'CVE-2019-6111']",0
187315,Medium,6.1,TRUE,TRUE,18-12-2023,15536,1,1,4,3,2.1,3,6.81,['CVE-2023-48795'],0
